"id","code","name","user_type_id/id","group_id/id","reconcile"
"l10n_fr.1_pcg_635112","635112","Cotisation sur la valeur ajoutée des entreprises","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_63512","635120","Taxes foncières","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_63513","635130","Autres impôts locaux","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_63514","635140","Taxe sur les véhicules des sociétés","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6352","635200","Taxes sur le chiffre d'affaires non récupérables","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6353","635300","Impôts indirects","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_63541","635410","Droits de mutation","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6358","635800","Autres droits","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6371","637100","Contribution sociale de solidarité à la charge des sociétés","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6372","637200","Taxes perçues par les organismes publics internationaux","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6374","637400","Impôts et taxes exigibles à l'étranger","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6378","637800","Taxes diverses (autres organismes)","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6411","641100","Salaires et appointements","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6412","641200","Congés payés","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6413","641300","Primes et gratifications","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6414","641400","Indemnités et avantages divers","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6415","641500","Supplément familial","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_644","644000","Rémunération du travail de l'exploitant","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6451","645100","Cotisations à l'URSSAF","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6452","645200","Cotisations aux mutuelles","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6453","645300","Cotisations aux caisses de retraites","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6454","645400","Cotisations aux ASSEDIC","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6458","645800","Cotisations aux autres organismes sociaux","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_646","646000","Cotisations sociales personnelles de l'exploitant","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6471","647100","Prestations directes","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6472","647200","Versements aux comités d'entreprise et d'établissement","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6473","647300","Versements aux comités d'hygiène et de sécurité","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6474","647400","Versements aux autres oeuvres sociales","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6475","647500","Médecine du travail, pharmacie","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_648","648000","Autres charges de personnel","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_649","649000","Crédit d’Impôt Compétitivité Emploi (CICE)","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6511","651100","Redevances pour concessions brevets, licences, marques, procédés, logiciels","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6516","651600","Droits d'auteur et de reproduction","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6518","651800","Autres droits et valeurs similaires","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_653","653000","Jetons de présence","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6541","654100","Créances de l'exercice","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6544","654400","Créances des exercices antérieurs","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6551","655100","Quote-part de bénéfice transférée (comptabilité du gérant)","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6555","655500","Quote-part de perte supportée (comptabilité des associés non gérants)","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_658","658000","Charges diverses de gestion courante","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_66116","661160","Intérêts des emprunts et dettes assimilées","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_66117","661170","Intérêts des dettes rattachées à des participations","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6615","661500","Intérêts des comptes courants et des dépôts créditeurs","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6616","661600","Intérêts bancaires et sur opérations de financement (escompte, ...)","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6617","661700","Intérêts des obligations cautionnées","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_66181","661810","Intérêts des dettes commerciales","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_66188","661880","Intérêts des dettes diverses","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_664","664000","Pertes sur créances liées à des participations","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_665","665000","Escomptes accordés","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_666","666000","Pertes de change","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_667","667000","Charges nettes sur cessions de valeurs mobilières de placement","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_668","668000","Autres charges financières","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6711","671100","Charges exceptionnelles - Pénalités sur marchés (et dédits payés sur achats et ventes)","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6712","671200","Charges exceptionnelles - Pénalités, amendes fiscales et pénales","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6713","671300","Charges exceptionnelles - Dons, libéralités","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6714","671400","Charges exceptionnelles - Créances devenues irrécouvrables dans l'exercice","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6715","671500","Charges exceptionnelles - Subventions accordées","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6717","671700","Charges exceptionnelles - Rappels d'impôts (autres qu'impôts sur les bénéfices)","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6718","671800","Autres charges exceptionnelles sur opération de gestion","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_672","672000","Charges exceptionnelles sur exercices antérieurs (en cours d'exercice seulement)","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6751","675100","Valeurs comptables des éléments d'actif cédés - Immobilisations incorporelles","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6752","675200","Valeurs comptables des éléments d'actif cédés - Immobilisations corporelles","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6756","675600","Valeurs comptables des éléments d'actif cédés - Immobilisations financières","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6758","675800","Valeurs comptables des éléments d'actif cédés - Autres éléments d'actif","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6781","678100","Charges exceptionnelles - Malis provenant de clauses d'indexation","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6782","678200","Charges exceptionnelles - Lots","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6783","678300","Charges exceptionnelles - Malis provenant du rachat par l'entreprise d'actions et obligations émises par elle-même","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6788","678800","Charges exceptionnelles diverses","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_68111","681110","Dotations aux amortissements sur immobilisations incorporelles","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_68112","681120","Dotations aux amortissements sur immobilisations corporelles","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6812","681200","Dotations aux amortissements des charges d'exploitation à répartir","account.data_account_type_expenses","","False"
